set Sone := 1 2 3 4 7 9 10 12 13 16 17 18 20 22 23 24 25 26 29 30 32 33 34 38 41 43 45 48 49 50 54 55 56 57 61 62 64 66 68 69 70 71 72 77 78 79 83 84 85 86 87 90 97 99 101 102 103 104 107 110 111 112 114 117 118 119 121 124 130 131 133 135 139 140 141 142 143 144 147 148 150 151 152 153 155 156 158 160 161 162 164 165 166 168 171 172 173 175 177 178 179 180 183 187 188 189 190 191 192 195 196 198 199 201 202 203 204 205 207 209 211 212 213 214 219 221 227 229 230 231 232 233 234 235 236 238 239 240 241 243 244 246 247 248 250 251 253 254 255 256 258 259 260 261 262 263 264 266 267 268 269 270 271 272 273 274 275 276 278 279 280 281 284 285 286 287 289 290 293 295 297 302 303 308 310 311 313 314 315 319 322 323 324 325 326 327 328 331 334 336 338 340 342 343 344 345 346 347 349 350 351 353 354 355 356 360 362 364 365 367 368 369 370 371 372 374 375 376 378 379 380 381 382 383 384 387 390 391 392 395 396 398 399 400 402 403 405 406 407 409 410 412 413 414 416 417 418 419 422 423 424 425 426 429 430 431 432 433 434 436 437 438 440 442 443 444 445 446 449 451 453 454 455 456 457 462 463 464 465 466 467 468 469 470 471 472 475 477 478 480 481 482 484 485 486 488 489 490 491 492 493 495 496 498 499 500 501 502 504 506 507 508 509 510 512 514 516 517 518 519 520 522 523 526 527 529 531 533 535 537 538 539 540 541 542 543 544 546 547 548 556 557 560 561 563 564 565 566 567 568 570 571 572 573 575 576 577 578 579 580 581 582 583 584 588 589 590 591 594 595 598 599 600 601 603 604 605 608 609 611 612 613 614 615 620 621 622 623 627 628 629 630 631 632 633 634 636 637 639 ;

set Szero := 5 6 8 11 14 15 19 21 27 28 31 35 36 37 39 40 42 44 46 47 51 52 53 58 59 60 63 65 67 73 74 75 76 80 81 82 88 89 91 92 93 94 95 96 98 100 105 106 108 109 113 115 116 120 122 123 125 126 127 128 129 132 134 136 137 138 145 146 149 154 157 159 163 167 169 170 174 176 181 182 184 185 186 193 194 197 200 206 208 210 215 216 217 218 220 222 223 224 225 226 228 237 242 245 249 252 257 265 277 282 283 288 291 292 294 296 298 299 300 301 304 305 306 307 309 312 316 317 318 320 321 329 330 332 333 335 337 339 341 348 352 357 358 359 361 363 366 373 377 385 386 388 389 393 394 397 401 404 408 411 415 420 421 427 428 435 439 441 447 448 450 452 458 459 460 461 473 474 476 479 483 487 494 497 503 505 511 513 515 521 524 525 528 530 532 534 536 545 549 550 551 552 553 554 555 558 559 562 569 574 585 586 587 592 593 596 597 602 606 607 610 616 617 618 619 624 625 626 635 638 640 ;

param m := 640;

param N := 27;

param U : 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24 25 26 27 := 
1 0 0 1 0 0 1 1 0 0 0 0 1 1 0 0 0 1 0 1 0 0 0 1 0 0 0 1
2 0 1 0 0 0 1 1 0 0 0 0 1 1 0 0 1 0 0 1 0 0 0 1 0 0 1 0
3 1 0 0 0 1 0 1 0 0 1 0 0 0 1 0 0 1 0 1 0 0 0 0 1 0 0 1
4 0 1 0 0 0 1 1 0 0 0 1 0 0 1 0 0 0 1 1 0 0 1 0 0 1 0 0
5 0 1 0 0 0 1 1 0 0 0 0 1 0 1 0 1 0 0 0 0 1 1 0 0 0 1 0
6 0 1 0 1 0 0 1 0 0 0 1 0 0 0 1 0 0 1 0 1 0 1 0 0 0 0 1
7 1 0 0 1 0 0 0 1 0 0 1 0 1 0 0 0 0 1 0 1 0 1 0 0 0 0 1
8 1 0 0 0 0 1 0 0 1 0 0 1 1 0 0 1 0 0 0 1 0 0 1 0 0 1 0
9 1 0 0 0 1 0 0 1 0 1 0 0 0 0 1 0 0 1 1 0 0 1 0 0 0 1 0
10 0 1 0 1 0 0 0 1 0 1 0 0 1 0 0 0 0 1 0 1 0 1 0 0 0 0 1
11 1 0 0 1 0 0 0 1 0 1 0 0 1 0 0 0 0 1 0 1 0 0 1 0 0 1 0
12 0 0 1 0 1 0 1 0 0 0 1 0 0 0 1 0 1 0 1 0 0 1 0 0 1 0 0
13 0 1 0 0 1 0 1 0 0 0 1 0 0 0 1 1 0 0 1 0 0 0 0 1 1 0 0
14 0 0 1 0 1 0 0 0 1 1 0 0 0 1 0 1 0 0 0 0 1 0 1 0 1 0 0
15 1 0 0 0 1 0 0 1 0 1 0 0 0 1 0 1 0 0 0 1 0 0 0 1 1 0 0
16 1 0 0 0 0 1 0 0 1 0 1 0 1 0 0 0 1 0 1 0 0 0 1 0 1 0 0
17 1 0 0 0 0 1 1 0 0 0 0 1 1 0 0 0 1 0 0 1 0 0 1 0 1 0 0
18 1 0 0 0 0 1 0 1 0 0 0 1 0 1 0 0 1 0 1 0 0 1 0 0 1 0 0
19 1 0 0 0 1 0 1 0 0 0 0 1 0 1 0 1 0 0 1 0 0 0 1 0 0 1 0
20 1 0 0 1 0 0 1 0 0 0 1 0 0 1 0 1 0 0 0 0 1 0 1 0 0 0 1
21 1 0 0 1 0 0 0 1 0 1 0 0 0 1 0 0 0 1 0 1 0 0 0 1 0 0 1
22 0 1 0 1 0 0 0 0 1 0 1 0 1 0 0 0 0 1 1 0 0 1 0 0 0 1 0
23 0 1 0 0 1 0 1 0 0 0 0 1 0 1 0 1 0 0 1 0 0 0 0 1 1 0 0
24 1 0 0 1 0 0 1 0 0 0 1 0 0 1 0 0 0 1 0 0 1 0 0 1 0 0 1
